Grid scores on validation set:
0.961 (+/-0.026) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.965 (+/-0.011) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.669 (+/-0.070) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.656 (+/-0.146) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.958 (+/-0.036) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.575 (+/-0.132) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.626 (+/-0.162) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.965 (+/-0.012) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.631 (+/-0.145) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.583 (+/-0.114) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.924 (+/-0.082) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.693 (+/-0.029) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.691 (+/-0.032) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.961 (+/-0.023) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.619 (+/-0.038) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.652 (+/-0.090) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.881 (+/-0.326) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.603 (+/-0.109) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.599 (+/-0.166) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.965 (+/-0.023) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.638 (+/-0.038) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.607 (+/-0.143) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.966 (+/-0.010) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.662 (+/-0.073) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.625 (+/-0.164) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
